#{"t_start": 1747235418.572347, "env_id": "BuildingEnv"}
r,l,t
-5477329.1147,16166,5.461278
-5382269.451054,16166,10.032603
-5177443.017406,16166,14.531373
-5498055.153071,16166,18.97696
-5332266.064848,16166,23.390134
-5159981.256601,16166,27.860538
-5195193.805067,16166,32.25003
-5092224.221956,16166,36.668054
-5122844.40807,16166,41.083034
-5173902.480624,16166,45.515235
-5009936.641168,16166,49.966405
-4849920.911305,16166,54.417918
-4935627.238942,16166,58.906871
-4844951.028173,16166,63.379979
-4675242.159262,16166,67.878772
-4802455.533856,16166,72.327721
-4730269.066855,16166,76.769732
-4780265.544467,16166,81.227655
-4738466.505595,16166,85.713066
-4300749.576194,16166,90.229059
-4573725.174064,16166,94.757553
-4444611.951986,16166,99.288415
-4331275.488961,16166,104.059016
-4241699.062641,16166,108.614542
-4258987.695143,16166,113.207022
-4404000.565685,16166,117.769415
-4176436.330682,16166,122.242949
-4412580.17751,16166,126.725591
-4161204.362807,16166,131.220032
-4001017.233561,16166,135.73776
-3854444.978698,16166,140.273453
-3792242.947052,16166,144.816647
-3820738.521301,16166,149.371493
-3891914.034321,16166,153.909708
-3853476.636986,16166,158.455135
-3691274.64584,16166,163.004393
-3610155.176209,16166,167.54994
-3596847.599646,16166,172.14026
-3633876.679659,16166,176.734004
-3661786.665702,16166,181.306786
-3577503.22414,16166,185.935478
-3467308.770938,16166,190.573855
-3459217.826963,16166,195.313435
-3639614.821405,16166,200.133803
-3339839.937868,16166,204.754765
-3426858.895382,16166,209.351732
-3315185.997616,16166,213.954732
-3277661.411859,16166,218.582523
-3252078.421519,16166,223.22285
-3085523.533389,16166,227.9428
-3178005.313164,16166,232.703585
-3189946.245666,16166,237.349654
-3093546.456434,16166,242.075169
-2861118.510862,16166,246.892402
-2941737.947099,16166,251.568453
-2885834.475759,16166,256.445146
-2965606.04766,16166,261.170416
-2826977.975324,16166,265.923058
-2978119.508324,16166,270.722059
-2760547.911948,16166,275.476084
-2612137.591889,16166,280.231409
-2910892.965287,16166,284.981983
-2790667.337389,16166,289.716624
-3006552.801258,16166,294.475546
-3128922.336682,16166,299.270265
-3052509.712781,16166,304.058023
-3098667.99551,16166,308.827847
-3205265.519101,16166,313.601619
-2965235.31218,16166,318.383113
-3122627.608861,16166,323.193701
-3199189.29653,16166,327.98783
-2870388.386941,16166,332.799591
-3522545.368601,16166,337.620214
-2969672.291734,16166,342.488634
-2797806.493683,16166,347.413732
-2877784.195159,16166,352.244032
-2859951.839777,16166,357.085379
-2709400.658592,16166,361.911951
-5587193.967872,16166,366.768658
-2760675.617137,16166,371.645611
-3079908.97202,16166,376.536214
-3142911.329859,16166,381.407088
-2466891.725508,16166,386.293323
-2296570.869937,16166,391.176305
-2174803.72113,16166,396.164044
-2167451.662072,16166,401.09413
-2010213.923105,16166,406.098677
-1853418.547784,16166,411.100224
-2005070.480608,16166,416.087288
-1871523.090042,16166,421.003556
-1797386.293872,16166,425.96465
-1699646.493358,16166,430.948294
-1757031.466608,16166,435.921261
-1649342.200331,16166,440.877389
-1670967.180328,16166,445.836166
-1554920.64401,16166,450.832507
-1583856.155981,16166,455.846036
-1517607.78984,16166,460.928016
-1452607.614028,16166,465.970338
-1445439.393672,16166,471.008266
-1402932.10055,16166,476.045321
-1551314.000959,16166,481.089765
-1359619.782481,16166,486.12221
-1358651.197316,16166,491.189314
-1323065.308558,16166,496.219166
-1297850.067366,16166,501.305429
-1389355.222619,16166,506.387869
-1289195.954289,16166,511.515729
-1371991.472688,16166,516.650262
-1308232.793441,16166,521.78065
-1227445.496513,16166,527.022159
-1227996.313903,16166,532.403791
-1192620.21256,16166,537.752504
-1212606.032651,16166,542.85197
-1212021.490806,16166,547.921554
-1203857.265204,16166,553.047183
-1067025.307553,16166,558.289249
-1078518.476387,16166,563.543254
-1023686.760389,16166,568.689765
-1035050.654885,16166,573.826657
-1034789.993924,16166,578.965219
-992132.288113,16166,584.2028
-899310.149486,16166,589.44127
-982651.378949,16166,594.621213
-912911.363426,16166,599.81392
-917433.666912,16166,605.008615
-873030.801129,16166,610.239971
-887731.58372,16166,615.495556
-866239.798592,16166,620.753088
-785742.979414,16166,626.096375
-789080.391189,16166,631.397117
-835117.715928,16166,636.655651
-759722.395161,16166,641.878254
-799233.114487,16166,647.104911
-705910.919201,16166,652.333746
-677417.659888,16166,657.62357
-653994.626473,16166,662.967113
-692833.500573,16166,668.257625
-638741.693566,16166,673.557241
-689745.768286,16166,678.824391
-628316.959927,16166,684.103154
-617256.634502,16166,689.480645
-565673.484401,16166,694.85812
-578278.976427,16166,700.225305
-584071.952809,16166,705.750415
-581204.519881,16166,711.426078
-537780.597535,16166,716.86357
-527249.784192,16166,722.228651
-511480.175651,16166,727.611291
-464662.531818,16166,733.027818
-391676.524514,16166,738.465369
-454839.555695,16166,743.839058
-436954.342607,16166,749.230746
-459268.484482,16166,754.621188
-439145.99211,16166,760.028016
-404201.972969,16166,765.454958
-407412.650421,16166,770.890843
-417844.566886,16166,776.30782
-384372.537395,16166,781.72189
-379122.586181,16166,787.170769
-358253.155494,16166,792.631425
-370007.861386,16166,798.186542
-349481.038548,16166,803.703331
-292863.292748,16166,809.251689
-317432.667221,16166,814.745136
-273904.869307,16166,820.250802
-273774.493761,16166,825.808152
-289785.116416,16166,831.334737
-271459.120506,16166,837.109021
-256985.941109,16166,842.696659
-215254.13858,16166,848.221814
-212630.688886,16166,853.693989
-224235.125777,16166,859.460901
-218866.02855,16166,865.035259
-210646.987627,16166,870.640841
-205522.483617,16166,876.216479
-162789.067053,16166,881.770506
-202848.607055,16166,887.35456
-168596.194878,16166,892.919218
-165787.411675,16166,898.474737
-162357.218615,16166,904.045051
-164291.243108,16166,909.622368
-137429.433371,16166,915.201762
-153002.702931,16166,920.808925
-155639.691256,16166,926.384382
-119678.518799,16166,932.00654
-116311.469794,16166,937.745222
