#{"t_start": 1747453922.3865032, "env_id": "BuildingEnv"}
r,l,t
-284727.854704,16166,5.320641
-100503.204644,16166,13.200567
-193157.947927,16166,19.361972
-268230.195664,16166,26.118077
-81509.647422,16166,34.466786
-313967.919861,16166,42.857486
-217650.190354,16166,48.048565
-230708.84864,16166,53.727002
-246346.889747,16166,59.931048
-175635.922501,16166,65.874846
-187202.618409,16166,71.002871
-262818.069486,16166,77.210804
-218383.605442,16166,83.045844
-186827.213552,16166,90.071797
-161893.074336,16166,95.186647
-267844.414697,16166,101.587705
-161925.936385,16166,108.051099
-147728.767916,16166,114.452998
-161571.150485,16166,121.097176
-131683.962381,16166,126.264816
-194658.118359,16166,131.451728
-191323.343052,16166,137.2791
-172052.494823,16166,142.459623
-162982.755135,16166,148.273677
-222606.664426,16166,153.423823
-274056.859196,16166,158.596245
-214410.815609,16166,163.912814
-244434.986941,16166,170.87716
-194282.857282,16166,176.427754
-198482.508866,16166,182.702152
-208728.86159,16166,189.56976
-151284.054364,16166,194.734449
-224258.613159,16166,200.510477
-239949.443766,16166,206.255857
-243428.96804,16166,213.340001
-166571.297347,16166,220.249967
-164478.369392,16166,225.395684
-227945.133036,16166,231.400755
-191477.20544,16166,237.215619
-131647.335359,16166,242.387783
-191337.113587,16166,249.427328
-224307.418687,16166,256.399561
-222971.026483,16166,261.544786
-174562.583708,16166,266.702921
-202091.263782,16166,271.859443
-161490.869136,16166,277.028746
-187434.74577,16166,281.899495
-165617.53395,16166,287.778139
-170662.128884,16166,293.656576
-137820.949627,16166,301.884506
-176050.991349,16166,307.616653
-170346.534257,16166,313.880626
-162223.40928,16166,323.241259
-641965.831191,16166,328.435611
-463712.039899,16166,334.239412
-238179.568516,16166,342.472001
-100813.684628,16166,348.549824
-355737.737204,16166,355.433165
-174659.377811,16166,362.904845
-154684.171182,16166,369.083778
-156159.980797,16166,377.807948
-167002.659508,16166,384.415702
-249614.402256,16166,390.717617
-281438.887524,16166,396.227391
-110095.291918,16166,401.170334
-125957.918708,16166,405.83881
-214212.098105,16166,410.911884
-146072.63882,16166,417.789867
-134204.869555,16166,423.425476
-141695.711381,16166,428.956326
-149976.039603,16166,435.166265
-146530.414693,16166,440.839002
-154849.508212,16166,445.894013
-100375.562696,16166,451.014153
-115133.690469,16166,459.16659
-149799.74315,16166,468.321588
-210337.919177,16166,473.459769
-204028.848765,16166,479.853574
-160844.836075,16166,486.27931
-194005.24097,16166,492.15915
-140796.34876,16166,499.86467
-228913.74997,16166,506.403033
-128672.023576,16166,515.431681
-165636.486041,16166,523.890491
-217239.268645,16166,528.752485
-124232.865709,16166,537.156874
-179229.019233,16166,542.40816
-190159.307742,16166,547.639844
-358917.996998,16166,553.839969
-238377.635367,16166,560.163328
-233119.588364,16166,567.685246
-154048.381516,16166,574.564712
-189985.899485,16166,583.308968
-164676.339437,16166,589.329192
-132610.487507,16166,594.350466
-123340.608259,16166,601.83095
-193319.463354,16166,606.821734
-182413.055183,16166,613.643436
-143032.587444,16166,619.41888
-195980.811014,16166,624.456228
-166115.136553,16166,630.138327
-124203.898513,16166,635.212993
-163448.278027,16166,640.291947
-223959.986546,16166,645.140048
-331717.369963,16166,650.254618
-213499.043438,16166,655.337443
-203925.862591,16166,660.397076
-138712.276794,16166,665.477175
-196787.869272,16166,671.625705
-100077.150274,16166,676.581128
-125727.439834,16166,681.52482
-179605.269293,16166,686.489536
-146992.589379,16166,691.166259
-159579.45702,16166,696.110112
-151952.466169,16166,702.320961
-203143.794839,16166,711.05586
-164224.682772,16166,717.173283
-185274.053232,16166,722.266298
-125107.298496,16166,727.341177
-144667.002929,16166,733.631778
-224550.67555,16166,743.090415
-127543.15071,16166,750.699908
-192985.051343,16166,756.701094
-160972.6093,16166,763.01299
-143596.129907,16166,768.021843
-199364.044633,16166,773.04718
-147904.991352,16166,778.0943
-216285.863491,16166,783.749697
-131138.976599,16166,790.114954
-100292.15459,16166,795.777448
-146208.808259,16166,802.133719
-143646.25548,16166,807.536639
-147289.839621,16166,817.185432
-102880.124514,16166,822.201765
-114463.385327,16166,827.192349
-115185.333953,16166,832.271083
-159700.433782,16166,837.995381
-129537.883229,16166,843.051892
-128505.365043,16166,848.714537
-146867.13915,16166,854.406113
-206473.866096,16166,862.520189
-221064.994035,16166,868.850219
-136677.328612,16166,873.815622
-130991.474332,16166,878.819593
-156125.652746,16166,883.817441
-138526.953213,16166,893.427925
-241489.611791,16166,898.540571
-120191.320374,16166,903.662894
-114194.093346,16166,908.770436
-162873.47609,16166,916.59893
-116029.597614,16166,922.098115
-179226.405809,16166,928.531756
-194610.231466,16166,933.594203
-195323.010897,16166,942.021147
-165072.67594,16166,949.817291
-150304.4011,16166,956.271602
-129515.711815,16166,963.339227
-176072.637457,16166,968.360939
-284832.493452,16166,974.101271
-234492.72259,16166,978.768212
-279503.609634,16166,986.785119
-169051.831462,16166,993.654206
-217443.072169,16166,999.386427
-179189.198231,16166,1006.213957
-163125.165291,16166,1015.528313
-181473.52605,16166,1025.499874
-144591.088223,16166,1032.953771
-165667.381539,16166,1039.186068
-144945.063645,16166,1047.336456
-124497.039671,16166,1052.067733
-117880.82657,16166,1057.113032
-178847.034997,16166,1063.427145
-146070.158383,16166,1070.961376
-186408.355524,16166,1076.011611
-110026.034705,16166,1081.710133
-150950.022336,16166,1091.184956
-116091.048277,16166,1099.572107
-186995.495629,16166,1104.545295
-118602.083368,16166,1109.958798
-126010.180273,16166,1114.99684
-112630.898668,16166,1120.047111
-116361.242112,16166,1125.074912
-83014.797557,16166,1130.109975
-106353.217122,16166,1137.193457
-107707.664656,16166,1144.303613
-72402.980172,16166,1150.639703
-54111.485942,16166,1157.096396
-77861.505941,16166,1162.557372
-50663.101606,16166,1167.646828
-43443.716763,16166,1174.10787
-79143.242368,16166,1179.793768
-126339.591454,16166,1184.861889
-190173.923588,16166,1189.940558
-97131.358487,16166,1196.272136
-121371.914466,16166,1201.301557
-201542.461731,16166,1209.031998
-223327.843216,16166,1214.073152
-131546.656623,16166,1218.733639
-97982.761029,16166,1226.355518
-134126.952643,16166,1233.867142
-100329.312602,16166,1240.769829
-80883.332941,16166,1247.637705
-90000.221803,16166,1254.544266
-91045.980547,16166,1259.494427
-131638.19678,16166,1264.436204
-146273.539294,16166,1269.387737
-100957.375878,16166,1274.704387
-98236.160376,16166,1281.623151
-157255.7538,16166,1286.892278
-160474.350061,16166,1293.402591
-136157.909304,16166,1298.641465
-258693.004536,16166,1303.843559
-210206.354174,16166,1309.684277
-155991.991152,16166,1316.876959
-159018.959325,16166,1325.893506
-91722.054112,16166,1331.705307
-58887.42455,16166,1337.167087
-49150.134619,16166,1344.950546
-86531.842367,16166,1352.700022
-58426.523329,16166,1357.799523
-46638.130292,16166,1362.928237
-81406.023734,16166,1368.006071
-35710.556431,16166,1373.082524
-46115.065868,16166,1378.156238
-83778.548119,16166,1383.229678
-44737.787688,16166,1388.654893
-30504.034021,16166,1394.482835
-45936.38252,16166,1402.965976
-18152.905281,16166,1412.660594
-49852.897761,16166,1417.803904
-50247.47679,16166,1424.870677
-28361.195691,16166,1433.307575
-34428.792806,16166,1438.402304
-30032.110407,16166,1444.178357
-38466.225056,16166,1452.932827
-67144.534232,16166,1460.056552
-26701.010082,16166,1465.146049
-63280.918154,16166,1470.275596
-31624.885,16166,1476.814914
-16840.301375,16166,1487.25074
-28515.205557,16166,1497.230052
-24190.185466,16166,1503.075348
-20227.585957,16166,1508.154191
-34401.991761,16166,1513.248945
-37536.647913,16166,1518.085569
-21024.728282,16166,1523.159438
-24007.751381,16166,1528.209313
-37472.114761,16166,1536.032819
-29349.489258,16166,1541.113418
-26407.69207,16166,1546.180221
-22853.809075,16166,1555.301759
