#{"t_start": 1747190100.1165707, "env_id": "BuildingEnv"}
r,l,t
-4459932.720088,16166,8.588373
-942450.22153,16166,15.426125
-207105.281949,16166,21.245515
-165554.013409,16166,27.032293
-164211.179295,16166,35.797025
-126858.039979,16166,44.504471
-157738.579702,16166,50.745067
-264689.299016,16166,56.462082
-148993.324222,16166,62.173637
-135568.977103,16166,67.599698
-116590.036497,16166,73.380598
-179508.892699,16166,79.182428
-187447.137898,16166,86.396577
-239709.527137,16166,93.194986
-237874.512291,16166,101.298903
-205750.386715,16166,107.765563
-162581.292684,16166,115.232592
-154297.298524,16166,122.123054
-130913.69626,16166,127.651721
-126671.431041,16166,134.060107
-130714.144615,16166,139.800144
-129872.017754,16166,146.722752
-150487.79023,16166,152.455071
-147162.818526,16166,158.793908
-148876.297384,16166,165.521771
-178287.492362,16166,173.49346
-154868.555457,16166,179.834017
-147484.05868,16166,185.617858
-150017.848799,16166,191.106061
-146480.224071,16166,196.865567
-149052.548658,16166,202.692451
-142050.167697,16166,208.503038
-165566.676347,16166,216.46699
-181777.558181,16166,224.584096
-163431.702615,16166,230.231831
-131189.914852,16166,237.108751
-144692.016715,16166,243.899473
-142708.827512,16166,249.262522
-134342.30777,16166,256.17946
-168371.23497,16166,263.801104
-154841.598319,16166,272.001112
-140061.414632,16166,278.343968
-134945.698026,16166,284.687903
-144775.857418,16166,291.024531
-117930.856905,16166,299.093528
-131805.901352,16166,305.448092
-145018.366155,16166,310.956106
-147142.573299,16166,318.47522
-145361.367667,16166,325.537706
-125281.405184,16166,332.648991
-112009.216468,16166,340.947972
-151983.969369,16166,346.792683
-154082.04585,16166,352.632221
-164883.583061,16166,359.031471
-147409.805955,16166,366.041148
-137579.834852,16166,371.797051
-158429.73974,16166,377.285182
-128769.557459,16166,383.761686
-146609.435143,16166,390.239526
-152488.268843,16166,398.902362
-136617.156981,16166,404.57205
-155389.391508,16166,412.736494
-123678.207198,16166,420.866196
-164703.231878,16166,426.671049
-190751.563363,16166,434.1969
-175938.699406,16166,440.221867
-130597.649198,16166,448.255561
-152935.841467,16166,455.241269
-116846.45561,16166,463.326625
-140532.976016,16166,470.306922
-175127.716494,16166,476.72933
-152926.374918,16166,482.592099
-191016.802117,16166,490.145366
-147647.177229,16166,496.520308
-155560.282361,16166,502.922193
-148136.862409,16166,509.53983
-134493.589005,16166,517.054372
-176316.509567,16166,524.673372
-235400.102387,16166,532.324732
-245637.853411,16166,539.982737
-233422.907265,16166,545.87067
-258415.366394,16166,552.995468
-265760.95751,16166,560.1915
-282715.84389,16166,566.761772
-282383.365993,16166,572.319709
-278808.564809,16166,579.540643
-289255.644789,16166,586.19485
-291761.130514,16166,592.822248
-288480.683864,16166,600.742844
-250073.090215,16166,607.414617
-267031.331702,16166,613.474463
-244016.490413,16166,620.038351
-262279.863035,16166,626.630611
-216112.487674,16166,633.531336
-210005.852258,16166,640.152985
-172081.091922,16166,646.118021
-177485.450518,16166,651.962608
-216296.220257,16166,657.786951
-208729.661758,16166,664.237008
-202349.436917,16166,670.172158
-170305.74553,16166,676.193291
-132163.104313,16166,682.775713
-164039.98073,16166,691.463085
-139216.902863,16166,698.171464
-112256.077239,16166,705.747986
-148441.120963,16166,711.657827
-138739.574897,16166,717.560024
-180317.938433,16166,724.612453
-193359.422826,16166,732.165192
-189237.23426,16166,738.066499
-150428.369524,16166,745.141886
-155098.820599,16166,751.726507
-139493.166564,16166,759.006595
-142810.185742,16166,768.390373
-128862.411265,16166,776.688755
-145959.917849,16166,784.405375
-129928.839437,16166,791.228908
-131367.316052,16166,798.88554
-152271.598323,16166,804.702672
-182832.24864,16166,810.651424
-155850.498357,16166,817.807277
-158826.214609,16166,824.241531
-152657.595605,16166,829.78682
-152069.367806,16166,835.696947
-139604.335729,16166,842.117816
-144374.072398,16166,850.289286
-123019.095991,16166,856.74915
-136310.475591,16166,863.688255
-129424.345577,16166,869.509602
-161968.466958,16166,875.839239
-148855.43365,16166,882.980487
-140906.453573,16166,889.729384
-148267.35197,16166,896.163737
-150241.567676,16166,902.619764
-156786.25466,16166,911.390559
-170947.056618,16166,920.78241
-136577.048253,16166,928.905813
-128919.877584,16166,935.255054
-156193.169055,16166,942.129737
-145694.001159,16166,949.123448
-142638.950649,16166,956.523143
-150885.940878,16166,962.960096
-141082.527279,16166,969.325708
-138541.905778,16166,976.396055
-136559.094378,16166,983.350292
-135286.859753,16166,990.391396
-159947.670181,16166,996.097329
-129772.336602,16166,1004.291721
-185586.871306,16166,1010.183894
-157292.150097,16166,1020.079994
-150271.655524,16166,1026.682402
-127297.893492,16166,1033.617666
-177881.304491,16166,1039.460407
-148509.077357,16166,1047.029499
-187346.534369,16166,1053.632986
-209900.672646,16166,1059.488508
-186849.598155,16166,1065.262244
-199221.069686,16166,1071.628747
-165145.111748,16166,1078.599119
-134081.741205,16166,1087.41625
-137613.320949,16166,1093.317799
-177577.852413,16166,1100.29864
-169241.802951,16166,1107.281957
-121523.233777,16166,1114.233786
-124853.860543,16166,1121.096848
-157652.372254,16166,1127.41727
-164467.204226,16166,1134.41836
-143581.121979,16166,1141.437451
-130085.749351,16166,1149.011275
-152381.9985,16166,1154.587022
-133033.574557,16166,1160.515422
-113114.130491,16166,1166.437825
-145139.263988,16166,1172.39061
-156147.212433,16166,1179.566975
-195010.738458,16166,1185.547679
-181242.649445,16166,1192.509209
-159690.403453,16166,1201.273709
-147023.042629,16166,1208.873216
-141850.357609,16166,1214.986078
-141865.190311,16166,1223.022612
-147427.993072,16166,1229.971182
-161799.638905,16166,1236.449458
-153368.067288,16166,1242.387517
-135509.939548,16166,1248.175098
-163416.186546,16166,1253.933459
-145653.782018,16166,1260.296496
-159982.02384,16166,1267.795115
-167678.776159,16166,1274.321815
-148472.98156,16166,1281.230792
-186077.190172,16166,1287.730071
-166120.049707,16166,1293.678917
-155581.631594,16166,1300.137979
-150880.528021,16166,1307.113858
-170351.29065,16166,1315.173191
-174952.047862,16166,1322.122123
-184050.60653,16166,1330.293516
-154179.79992,16166,1338.509248
-142813.967901,16166,1344.6364
-136500.487053,16166,1351.017021
-198795.268793,16166,1358.051282
-190964.297965,16166,1363.995081
-155345.948423,16166,1369.948534
-172755.830324,16166,1378.256097
-146704.784269,16166,1385.744574
-155321.149238,16166,1391.6524
-138657.891032,16166,1397.510412
-139660.87393,16166,1403.574737
-142646.67606,16166,1409.49747
-122978.410549,16166,1415.966917
-147577.851645,16166,1423.068319
-148086.113195,16166,1429.553094
-152708.247416,16166,1439.038085
-151885.680407,16166,1444.906259
-122970.075237,16166,1450.778315
-193906.967336,16166,1457.20396
-158240.632538,16166,1462.960356
-178930.193303,16166,1468.420598
-240035.764221,16166,1476.007597
-243024.248838,16166,1481.866
-258415.632271,16166,1487.700902
-252756.295575,16166,1493.421501
-216317.897535,16166,1501.03787
-175446.492165,16166,1507.555558
-146078.790807,16166,1513.424768
-141002.799758,16166,1521.783604
-176375.147068,16166,1530.392664
-145359.464969,16166,1537.848992
-134923.036308,16166,1545.384503
-157121.70212,16166,1552.928631
-148612.119506,16166,1559.196784
-133702.79658,16166,1564.98115
-144222.52856,16166,1571.935652
-168982.097427,16166,1577.744845
-179514.142511,16166,1584.84587
-129834.031612,16166,1591.011066
-133495.434896,16166,1599.127773
-153297.122333,16166,1604.899342
-181221.087778,16166,1610.663316
-159084.795244,16166,1617.099713
-137010.346724,16166,1623.090121
-145368.579132,16166,1629.788623
-152723.901605,16166,1636.451143
-146051.873083,16166,1642.527735
-122699.058153,16166,1650.956231
-128227.675021,16166,1656.57601
-145738.605432,16166,1662.536915
-155384.495572,16166,1668.433476
-131110.481567,16166,1674.310373
-123979.00792,16166,1680.907315
-149983.49966,16166,1688.085543
-166847.790117,16166,1694.021663
-151602.736767,16166,1701.136191
-172752.659583,16166,1707.60435
-147363.971672,16166,1713.790515
-135097.033213,16166,1719.698866
-136670.848771,16166,1725.496079
-117105.387202,16166,1731.368549
-129582.598555,16166,1737.959464
-129714.54493,16166,1744.513783
-156739.663906,16166,1750.437594
-152740.900505,16166,1757.666617
-155164.848612,16166,1765.503492
-155424.136393,16166,1771.533893
-119655.912503,16166,1777.827113
-153033.251532,16166,1783.803034
-144734.051414,16166,1790.928079
-153610.197269,16166,1800.128588
-142137.168577,16166,1809.217298
-145766.033444,16166,1815.743252
-165951.641644,16166,1823.490201
-141518.602298,16166,1829.962497
-127272.22986,16166,1838.982119
-120341.753915,16166,1845.23252
-153126.489135,16166,1852.430549
-156742.92198,16166,1858.249704
-117700.128308,16166,1864.190069
-130946.567387,16166,1870.762033
-146226.369629,16166,1877.215767
-148360.236066,16166,1883.260021
-144442.304015,16166,1889.215291
-131113.331038,16166,1895.028254
-138509.668065,16166,1903.031835
-138861.796745,16166,1909.325901
-145746.660949,16166,1916.331952
-157547.685141,16166,1922.09559
-155701.893958,16166,1927.897297
-149367.38678,16166,1934.892992
-154953.819569,16166,1941.351575
-130372.702568,16166,1947.68716
-144928.555521,16166,1954.068547
-121037.125075,16166,1960.032448
-152692.528568,16166,1966.272439
-133756.889642,16166,1972.811553
-135392.866386,16166,1978.756512
-118951.70908,16166,1984.723207
-149682.753629,16166,1991.296421
-165211.980776,16166,1999.65964
-135737.289798,16166,2006.050054
-146280.607529,16166,2011.969206
-170866.614466,16166,2019.178322
-166799.043929,16166,2026.671649
-185058.280662,16166,2035.749981
-172039.268113,16166,2044.193518
-187541.339136,16166,2050.751382
-169589.044944,16166,2057.414829
