#{"t_start": 1773866028.5969803, "env_id": "BuildingEnv"}
r,l,t
-277119282.752259,16166,10.920765
-277455114.112651,16166,16.75499
-272889489.585321,16166,22.559121
-270094898.245895,16166,28.371597
-268950167.639907,16166,34.14673
-268279019.946848,16166,39.924811
-267507004.534738,16166,45.756626
-264840772.650034,16166,51.690351
-259207633.551337,16166,57.619545
-260176820.245653,16166,63.485292
-261232083.526149,16166,69.323874
-258356485.063845,16166,75.163131
-260591547.154945,16166,81.049263
-253568436.902728,16166,86.997368
-255817082.296813,16166,93.147246
-256541901.648762,16166,99.475523
-255923241.965733,16166,105.93754
-251227681.113789,16166,111.983079
-246543839.172072,16166,118.096812
-244922421.984194,16166,124.25583
-250329393.169889,16166,130.416544
-243575846.63599,16166,136.558511
-245071620.141179,16166,142.696332
-241975699.716529,16166,148.836951
-244516652.782042,16166,154.929077
-240979272.360994,16166,161.006384
-240213192.389711,16166,167.140417
-236999454.623572,16166,173.272881
-237949693.948374,16166,179.3937
-236958224.20374,16166,185.495832
-232815081.811977,16166,191.636056
-232644443.636662,16166,197.831167
-228404872.428639,16166,204.04926
-225125588.970148,16166,210.283638
-227209244.121081,16166,216.500835
-222591526.0111,16166,222.79178
-222898539.893737,16166,229.102243
-220546290.319869,16166,235.381642
-226384198.026159,16166,241.658504
-215491936.726707,16166,247.951005
-220360967.705734,16166,254.265486
-214189101.938356,16166,260.554758
-211450075.530376,16166,266.84625
-210797482.883386,16166,273.147615
-213698291.774391,16166,279.448972
-207876813.971063,16166,285.746862
-209148513.579675,16166,292.090824
-206816168.432567,16166,298.400954
-209664014.643757,16166,304.72022
-201847939.067196,16166,311.063515
-201462659.059255,16166,317.38037
-202883554.856505,16166,323.684473
-198862987.820228,16166,329.962874
-200093466.456489,16166,336.259135
-194687236.389414,16166,342.612311
-201063350.000772,16166,348.937729
-194182763.632835,16166,355.276741
-192562452.810332,16166,361.648968
-194482319.305826,16166,368.049048
-188635656.425459,16166,374.429573
-187506861.723729,16166,380.792596
-184876246.34379,16166,387.18829
-186487556.697202,16166,393.555689
-182348892.515333,16166,399.956778
-178434374.078572,16166,406.317281
-181590761.538723,16166,412.680452
-178582965.387921,16166,419.136964
-178578080.336044,16166,425.632448
-174890839.861044,16166,432.185338
-176303065.457714,16166,438.607533
-171220438.251313,16166,445.019116
-177611230.250412,16166,451.465942
-165190591.891539,16166,457.953685
-166110480.406741,16166,464.426786
-160455419.903703,16166,470.943737
-164342047.864926,16166,477.406098
-165042582.712957,16166,483.88157
-165367958.946529,16166,490.344146
-161542493.187783,16166,496.794809
-159497427.08706,16166,503.303944
-153444772.847329,16166,509.821467
-155560223.209938,16166,516.347401
-153959821.366524,16166,522.87796
