#{"t_start": 1773867362.0264642, "env_id": "BuildingEnv"}
r,l,t
-4894757015.638442,16166,7.622808
-4888442575.484357,16166,13.784206
-4956065491.661577,16166,19.950454
-4838929685.581431,16166,26.078958
-4704102227.447706,16166,32.285953
-4689691046.449774,16166,38.401387
-4543087000.063355,16166,44.560387
-4579652622.557833,16166,50.734633
-4390884270.297815,16166,56.90305
-4561375022.040278,16166,63.052764
-4409630072.558599,16166,69.225307
-4386360554.463671,16166,75.434495
-4188846137.943897,16166,81.707547
-4250508683.016137,16166,87.953179
-4188431955.563557,16166,94.257833
-4133204029.230131,16166,100.619576
-4099985186.825952,16166,106.851677
-4081607710.178239,16166,113.127121
-4017483284.689929,16166,119.608735
-4019927807.257167,16166,125.93081
-3974422379.7222,16166,132.335246
-3974093104.727844,16166,138.789488
-3891753367.305644,16166,145.234776
-3857866122.625192,16166,151.645072
-3780549989.149612,16166,158.229332
-3834787788.541697,16166,164.716328
-3645522885.170871,16166,171.196463
-3564928817.978011,16166,177.664684
-3455269574.59016,16166,184.168395
-3484180706.300804,16166,190.620296
-3409071281.918581,16166,197.159927
-3439689860.076292,16166,203.66605
-3497619578.334823,16166,210.190499
-3469490878.585962,16166,216.668348
-3238024520.329986,16166,223.268244
-3310938168.989574,16166,229.796994
-3177183494.098601,16166,236.352937
-3123821703.520891,16166,243.085275
-3215474837.85541,16166,249.780736
-3006333954.69753,16166,256.30072
-3144165960.972717,16166,263.042918
-3064347462.815438,16166,269.723037
-3043159719.062374,16166,276.276846
-2908012160.392588,16166,282.985662
-2844821126.701544,16166,289.642846
-2911131209.51596,16166,296.247087
-2989764547.654357,16166,302.825714
-2949797463.166548,16166,309.422146
-2739230005.229244,16166,316.037601
-2648286666.281656,16166,322.697819
-2701727176.440407,16166,329.488807
-2633166670.157702,16166,336.143758
-2588203993.392369,16166,342.843791
-2587995641.546554,16166,349.588798
-2575423411.461443,16166,356.307624
-2499064499.617957,16166,362.963209
-2530354883.990977,16166,369.639466
-2422520913.844545,16166,376.335778
-2441707201.298269,16166,383.042497
-2413244077.202018,16166,389.783478
-2325564764.370644,16166,396.535908
-2306353778.608859,16166,403.27942
-2314088805.002686,16166,410.05619
-2171612547.403825,16166,416.839103
-2253797732.667492,16166,423.62719
-2217294612.002856,16166,430.359136
-2196828938.200618,16166,437.136805
-2042002973.898224,16166,443.928163
-2074887344.872781,16166,450.722362
-1963155157.614644,16166,457.517015
-1962219774.03353,16166,464.376158
-2006773410.210311,16166,471.198956
-1900866446.998295,16166,478.033555
-1987111222.920441,16166,485.00869
-1888951683.313052,16166,491.930346
-1786746850.290348,16166,498.778608
-1943896765.342464,16166,505.615492
-1843507151.463442,16166,512.418761
-1672589658.585345,16166,519.275382
-1678787649.037626,16166,526.160568
-1701184524.60181,16166,533.054332
-1647152832.906064,16166,539.982852
-1555353270.217836,16166,546.890104
-1697416061.087577,16166,553.811209
-1570569795.625626,16166,560.72363
-1596410603.64667,16166,567.627479
-1544928797.663434,16166,574.570383
-1518306620.938823,16166,581.530251
-1499943621.497464,16166,588.487459
-1519581950.851542,16166,595.435351
-1449271498.372127,16166,602.361203
-1460742251.014633,16166,609.310183
-1350336819.08343,16166,616.293025
-1344476379.964051,16166,623.335004
-1326084778.087385,16166,630.465259
-1294211002.650213,16166,637.616482
-1269881649.065485,16166,644.709281
-1178175232.344262,16166,651.806729
-1280871424.534069,16166,658.894777
-1247990027.473977,16166,665.927146
-1139424870.734316,16166,672.99186
-1309443724.214996,16166,680.04844
-1149754763.018742,16166,687.095514
-1065736173.955876,16166,694.173356
-1056925761.557417,16166,701.283922
-1002826524.361849,16166,708.402425
-1059725166.567304,16166,715.497564
-980500654.979718,16166,722.604212
-1025171447.68961,16166,729.74336
-1028341766.113255,16166,736.881717
-975596697.839687,16166,743.99101
-947900592.344054,16166,751.104063
-991714287.004605,16166,758.240212
-805659742.130634,16166,765.381087
-909739792.009197,16166,772.474917
-820583821.141352,16166,779.624104
-867468441.98237,16166,786.798485
-808872703.802926,16166,793.988904
-723573516.783187,16166,801.286189
-701479926.592699,16166,808.515777
-716108013.324048,16166,815.746087
-795259295.274231,16166,823.000027
-778054586.155583,16166,830.244354
-698633255.307691,16166,837.453971
-644894475.281132,16166,844.710266
-685802300.494722,16166,851.955003
-638977985.183179,16166,859.053606
-627112706.960464,16166,866.215123
-650925147.538286,16166,873.384562
-616781685.187532,16166,880.477262
-613199268.925946,16166,887.636708
-623799377.847459,16166,894.814811
-529613310.942714,16166,901.933119
-515119571.025556,16166,909.063279
-515904703.835721,16166,916.213061
-530734307.349348,16166,923.249421
-466960421.649547,16166,930.331422
-480643815.204641,16166,937.455458
-496504397.628562,16166,944.5064
-449532520.538894,16166,951.580135
-471655280.048493,16166,958.648182
-469401278.264298,16166,965.735147
-442059361.687736,16166,972.825795
-366175147.877539,16166,979.961855
-384791207.803013,16166,987.288122
-364572006.138618,16166,994.483798
-375973231.510243,16166,1001.712232
-374879520.521385,16166,1008.98105
-321924843.161886,16166,1016.284044
-329620165.100854,16166,1023.579075
-374825567.012099,16166,1030.847877
-276867479.186803,16166,1038.101604
-321416089.487033,16166,1045.386652
-306471141.615323,16166,1052.776421
-313348634.229604,16166,1060.154351
-284363358.693618,16166,1067.815057
-266640993.982578,16166,1075.400226
-244073725.463276,16166,1082.792952
-260984864.521802,16166,1090.182754
-227446917.179621,16166,1097.603618
-206288954.952376,16166,1105.23101
-198887588.824171,16166,1112.737822
-179017430.92586,16166,1120.245015
-213463720.110281,16166,1127.647701
-198947130.350545,16166,1135.060307
-219167596.852715,16166,1142.539977
-166457867.991195,16166,1149.929614
-160713737.516017,16166,1157.316628
-171555366.914826,16166,1164.745418
-197822960.441864,16166,1172.198486
-135949854.82911,16166,1179.642888
-168905775.016889,16166,1187.059845
-150529364.705109,16166,1194.468845
-138391467.548084,16166,1201.85097
-138254787.248032,16166,1209.308057
-135279286.865948,16166,1216.670651
-161313771.851885,16166,1223.935161
-142551423.209137,16166,1231.268343
-125484504.198453,16166,1238.58806
-122274967.425576,16166,1245.876443
-97982515.573933,16166,1253.228346
-110659955.92391,16166,1260.506783
-92500953.065478,16166,1267.792077
-95156562.85821,16166,1275.126958
-100620060.652929,16166,1282.438403
-101790457.079466,16166,1289.779523
-90714401.843805,16166,1297.16532
-99589319.548356,16166,1304.513071
-100648771.435542,16166,1311.861849
-96382162.998569,16166,1319.227387
-85397191.3533,16166,1326.601721
-65132681.24306,16166,1333.973008
