#{"t_start": 1747500406.7495368, "env_id": "BuildingEnv"}
r,l,t
-90076170.184869,16166,7.039933
-63264187.156966,16166,14.307053
-75422102.996845,16166,22.146158
-53511077.501684,16166,28.807416
-40934917.57474,16166,36.528368
-30112138.753998,16166,43.330013
-24604923.124801,16166,51.022894
-22535817.682598,16166,58.680216
-27544671.252873,16166,65.227415
-25449748.990037,16166,73.134648
-31800363.733491,16166,80.387808
-34042422.230072,16166,87.537375
-28399579.363075,16166,94.63899
-24187531.047596,16166,103.94331
-29378053.534047,16166,110.551227
-24455511.849757,16166,117.856232
-22283110.412371,16166,126.130065
-22614455.248455,16166,132.811528
-19854826.75936,16166,138.642571
-16900747.162597,16166,146.490164
-25299449.914995,16166,153.733402
-26434814.349101,16166,163.186684
-24910267.216203,16166,171.642998
-25683152.54949,16166,179.337666
-23644444.201476,16166,185.589302
-21387549.888149,16166,193.369145
-27635255.035821,16166,201.653968
-24262778.795845,16166,207.752846
-21207156.567362,16166,215.095242
-27395918.766134,16166,223.489757
-21160849.157167,16166,230.076437
-23979029.603205,16166,238.371216
-19667609.185133,16166,246.13295
-26002085.599931,16166,253.937071
-23136611.12307,16166,260.617283
-22746792.773722,16166,267.966811
-19772615.237784,16166,274.114686
-20658044.149701,16166,281.646178
-23694648.082558,16166,290.575741
-21254010.460056,16166,298.319827
-23085455.373575,16166,304.471795
-23974314.866503,16166,312.264404
-21650992.508638,16166,320.651112
-24869788.149614,16166,329.161883
-23374081.507488,16166,337.14738
-19025730.510208,16166,347.794209
-21938409.313425,16166,355.851699
-19405325.067311,16166,363.788878
-16162779.377688,16166,373.883541
-22433607.744442,16166,380.078584
-19237719.325637,16166,390.141571
-21298338.436763,16166,399.046536
-21029684.235184,16166,409.128109
-18254356.994079,16166,417.489726
-18306769.986042,16166,427.573724
-21582453.860985,16166,435.959726
-20598802.206788,16166,442.342351
-19793687.892955,16166,449.102422
-23708531.679017,16166,457.013584
-27432183.7385,16166,465.96277
-27695060.550814,16166,473.250282
-27540555.130055,16166,482.244577
-23819531.510865,16166,491.7245
-17578487.758423,16166,499.0369
-26013024.481707,16166,506.355605
-18569137.020651,16166,513.268171
-23025788.716962,16166,519.437598
-23648892.757148,16166,528.400817
-19093997.944853,16166,536.745992
-18475210.702021,16166,547.34094
-19063647.354374,16166,556.433439
-28068163.425744,16166,564.287288
-29235453.5316,16166,571.059468
-20025807.073351,16166,577.789186
-20038822.957768,16166,584.467582
-15999572.439174,16166,593.170587
-23323006.717324,16166,599.831623
-19272223.477492,16166,606.00991
-21287901.175274,16166,612.736254
-27329718.998782,16166,621.154593
-22421099.714049,16166,627.777705
-21706234.851883,16166,635.50161
-15412705.126117,16166,642.180598
-23304466.681892,16166,649.052306
-17098278.024104,16166,657.839935
-18413930.039025,16166,668.571466
-21307378.172261,16166,676.534949
-16095815.766867,16166,685.579816
-19449812.414401,16166,693.556592
-22832242.982156,16166,702.178295
-21194596.322219,16166,708.356866
-22066415.654753,16166,716.248222
-15553792.635545,16166,723.548986
-18829924.151796,16166,732.431379
-20217795.739097,16166,742.789337
-23393595.659589,16166,751.453413
-19185148.971955,16166,759.414241
-24541779.788063,16166,766.242381
-22693664.435944,16166,772.512913
-19994256.211551,16166,779.379566
-16891703.553672,16166,786.884508
-17085562.114433,16166,793.665149
-20864656.52013,16166,801.607459
-19930082.800938,16166,809.342092
-20491872.183566,16166,817.297733
-20575547.890773,16166,825.893709
-22787447.23331,16166,832.109767
-21097550.743569,16166,842.568397
-20376557.563305,16166,851.732016
-18579476.719195,16166,857.979674
-17805512.412723,16166,864.720064
-18469056.977573,16166,872.10624
-19664758.110061,16166,879.726439
-23386447.850932,16166,888.467986
-16535193.058954,16166,899.426933
-26985626.671813,16166,906.195081
-24075416.605936,16166,914.136424
-25444767.829735,16166,922.094915
-15714940.325027,16166,930.533031
-30954785.536137,16166,938.395309
-22666833.440826,16166,946.338866
-21470734.078605,16166,954.782953
-16147179.923746,16166,962.97147
-28752426.417598,16166,971.569827
-14908921.985709,16166,980.069728
-21453239.946432,16166,986.244152
-23847123.552116,16166,994.271481
-23928450.950896,16166,1003.323841
-20717697.599518,16166,1010.603658
-20006585.067441,16166,1016.762943
-21784873.041473,16166,1024.184719
-20430134.865417,16166,1034.107033
-23401146.622337,16166,1042.768424
-20516408.094006,16166,1051.727067
-19030655.058446,16166,1059.015535
-17333197.896996,16166,1065.6638
-16725535.127603,16166,1072.99647
-18479759.635725,16166,1080.301154
-19169675.609601,16166,1087.014279
-18659172.360154,16166,1094.982768
-18999812.994577,16166,1104.317527
-21641481.728742,16166,1114.601213
-17848540.33525,16166,1123.682315
-19197487.948484,16166,1130.996984
-18194927.996456,16166,1140.233262
-18136501.65651,16166,1147.47217
-18161425.621646,16166,1155.35445
-20723873.388114,16166,1163.230423
-20890392.565513,16166,1169.387153
-19839117.198778,16166,1175.575822
-15264901.164447,16166,1181.497066
-21486824.031558,16166,1189.509568
-20313372.822843,16166,1198.470631
-23984369.931278,16166,1205.957029
-19402765.5932,16166,1212.105983
-17403122.357389,16166,1218.950509
-26125011.119667,16166,1227.617008
-21344800.905971,16166,1235.503572
-18043231.62129,16166,1244.137043
-21531337.723102,16166,1251.737617
-18724508.662238,16166,1258.556667
-18526175.33141,16166,1265.89153
-20709411.90425,16166,1272.731559
-42192738.512394,16166,1280.487957
-45737023.725655,16166,1289.883451
-33573482.785434,16166,1297.714384
-25113010.248924,16166,1305.575315
-21927883.883985,16166,1312.786383
-18680022.382741,16166,1320.824436
-20195625.528164,16166,1328.389546
-24161546.111791,16166,1337.353499
-17765232.057162,16166,1344.094235
-23497642.064263,16166,1352.077863
-22542831.226531,16166,1358.838646
-26150789.676959,16166,1366.798506
-22189988.344222,16166,1375.178888
-21712261.29914,16166,1382.915747
-19080775.821646,16166,1390.929445
-24477707.757685,16166,1396.817661
-23380944.267112,16166,1403.544873
-22864179.593815,16166,1412.608696
-26012626.817479,16166,1420.665152
-25960113.253284,16166,1428.649326
-20636748.885784,16166,1434.831793
-24037688.353417,16166,1444.065035
-25782713.364642,16166,1453.742795
-20173115.421515,16166,1461.780721
-21710052.113643,16166,1471.745229
-21044010.521383,16166,1478.613971
-22910504.398886,16166,1485.439804
-16816087.324011,16166,1493.425166
-25475839.918818,16166,1500.64626
-22296167.86132,16166,1506.665354
-19890285.793452,16166,1514.58813
-24285198.361768,16166,1520.764734
-25171903.040525,16166,1529.283352
-22427966.583657,16166,1537.71519
-28781930.255136,16166,1544.66684
-27391675.265853,16166,1555.030961
-24119579.826498,16166,1565.291335
-22135280.788653,16166,1574.859933
-15532269.203117,16166,1582.199167
-48302564.014332,16166,1589.511334
-37146648.277186,16166,1596.33526
-17897074.588463,16166,1605.378097
-18286008.500704,16166,1612.102281
-21586749.408402,16166,1617.915128
-15236239.705764,16166,1625.252461
-23459304.730478,16166,1631.423168
-22468070.177663,16166,1638.195532
-21840367.877413,16166,1644.286745
-23911057.650467,16166,1652.299523
-17845418.223862,16166,1660.332927
-24443602.694861,16166,1668.299028
-20597944.932623,16166,1675.06236
-20144761.427251,16166,1683.726428
-23955047.141336,16166,1690.897924
-24291685.038332,16166,1697.73562
-17793567.461632,16166,1705.226815
-22767545.426748,16166,1716.43837
-23289927.969557,16166,1725.132415
-19258701.66133,16166,1732.57479
-21595776.220448,16166,1742.521545
-24009629.010641,16166,1751.306067
-18694473.10086,16166,1759.517093
-22355929.869962,16166,1767.963166
-22303300.601891,16166,1775.454459
-22415056.653413,16166,1784.011527
-21793724.390287,16166,1792.105436
-19837949.432286,16166,1802.387669
-21389527.504014,16166,1810.91311
-20818305.077241,16166,1817.035462
-18804269.087266,16166,1827.389411
-20195051.83261,16166,1833.490512
-23083307.348504,16166,1842.930451
-23926360.201132,16166,1851.678824
-20239701.121334,16166,1859.47633
-22798752.130889,16166,1869.023431
-23828916.33743,16166,1876.808828
-18880813.193295,16166,1883.963777
-20918150.245929,16166,1892.912941
-19285842.736858,16166,1898.924039
-19736849.749192,16166,1905.51922
