#{"t_start": 1747564208.949767, "env_id": "BuildingEnv"}
r,l,t
-796192792.883885,16166,43.831164
-822094051.852323,16166,200.933048
-693184991.920991,16166,292.501494
-626339644.690097,16166,412.655619
-463849389.241954,16166,506.796586
-428538481.285618,16166,695.658417
-330148555.290895,16166,839.075768
-275623704.676842,16166,968.367312
-155133012.997944,16166,1127.068964
-144593936.907614,16166,1262.567456
-125511568.707344,16166,1348.295499
-76829581.7626,16166,1456.392327
-106231874.806015,16166,1645.664336
-150705866.319875,16166,1803.259367
-162343709.157479,16166,1858.08454
-113640175.893789,16166,1966.583807
-89724976.624367,16166,1995.314985
-88624929.701143,16166,2159.757182
-121118431.385027,16166,2305.514445
-90638472.347855,16166,2517.783122
-87945894.609717,16166,2625.656521
-115302867.576668,16166,2746.672261
-107324462.279613,16166,2778.83739
-112306817.48812,16166,2870.148167
-106233792.489134,16166,2876.765661
-125245761.058585,16166,3000.338919
-97672541.345678,16166,3118.488191
-137770531.909149,16166,3254.780628
-85203903.18711,16166,3301.693022
-101621709.246827,16166,3432.947141
-116339822.944057,16166,3574.116195
-115238971.335783,16166,3580.81053
-109323607.546319,16166,3687.365378
-72533319.933958,16166,3762.197498
-70885526.453693,16166,3869.124902
-81552738.603626,16166,3889.285613
-74421540.166486,16166,3967.517598
-72895909.517563,16166,4105.738514
-55063480.958355,16166,4235.561787
-63487897.131421,16166,4287.952924
-72263843.501989,16166,4400.083178
-67039542.881649,16166,4523.490951
-87658054.825353,16166,4574.096606
-63213610.257602,16166,4623.411171
-94054482.254995,16166,4706.887975
-80064545.851453,16166,4874.940183
-54928764.613612,16166,4907.923086
-48266142.608969,16166,5014.842659
-86471741.656799,16166,5087.478441
-84855983.049912,16166,5221.861254
-77580797.454359,16166,5245.000559
-86051658.954382,16166,5306.843732
-87288782.91018,16166,5388.926432
-84354625.996391,16166,5519.449259
-69635351.890336,16166,5552.218264
-63977803.530603,16166,5562.063634
-60799052.106004,16166,5724.15643
-70221850.15523,16166,5891.554904
-81106826.698215,16166,6062.056591
-63978728.715888,16166,6205.310529
-76335111.392225,16166,6278.301578
-87430937.085688,16166,6386.562461
-71139486.978602,16166,6481.738925
-76876517.91363,16166,6568.158388
-80805009.799551,16166,6616.424239
-89631023.635661,16166,6636.988553
-60753602.853128,16166,6780.394916
-66942694.537103,16166,6821.973298
-61575121.303621,16166,6858.555801
-75844545.481856,16166,6907.382608
-110677020.915079,16166,7075.517049
-41352029.922614,16166,7230.313296
-79408212.244564,16166,7389.935459
-70544051.561256,16166,7453.771407
-73238365.384037,16166,7599.265764
-46776660.252528,16166,7698.966532
-63735281.519903,16166,7756.819118
-76043986.674077,16166,7814.200895
-68464429.743001,16166,7908.422774
-67180007.465962,16166,7984.802689
-88002940.766843,16166,8008.005741
-106869372.501302,16166,8049.96098
-77803238.201909,16166,8216.162835
-36883551.076006,16166,8302.03365
-70476091.981846,16166,8477.379845
-75255766.415875,16166,8561.186324
-62183802.591712,16166,8656.482813
-74993918.556257,16166,8787.802121
-73737084.624839,16166,8797.432672
-75230901.595858,16166,8827.037472
-54112117.969551,16166,8889.448404
-66393329.900037,16166,9003.386538
-70039602.768922,16166,9127.568748
-66634938.923105,16166,9266.83331
-69074062.719265,16166,9424.063004
-78638148.847139,16166,9490.165104
-46720796.405994,16166,9529.101132
-74857399.715106,16166,9633.789127
-68457836.880808,16166,9758.72228
-50790438.081171,16166,9842.19191
-87518258.635849,16166,9941.274557
-62084671.053421,16166,9964.469321
-56773684.998774,16166,9984.973527
-56694094.277427,16166,10078.364705
-77301780.324668,16166,10088.334736
-47204715.326229,16166,10095.490303
-64422432.419253,16166,10103.805422
-78350907.185349,16166,10112.026519
-50149421.367009,16166,10119.770137
-59623296.943916,16166,10128.648954
-72882841.560069,16166,10136.909679
-70883208.245558,16166,10143.97905
-77386517.270984,16166,10151.357145
-49244208.133764,16166,10159.452929
-82849340.64192,16166,10166.010265
-73527273.486501,16166,10175.895891
-81371683.769942,16166,10182.360295
-54401145.426502,16166,10189.429942
-61500706.945379,16166,10196.004134
-67146069.856401,16166,10204.289445
-63149633.432162,16166,10211.554603
-61983496.917876,16166,10219.903665
-75888392.228274,16166,10225.527585
-60015237.650884,16166,10233.795581
-78477664.970585,16166,10240.906642
-71506575.581563,16166,10248.665477
-53888142.242069,16166,10256.464276
-67890680.045618,16166,10265.96793
-61826788.431091,16166,10273.133358
-40412883.2825,16166,10281.447563
-86166127.778459,16166,10287.89029
-137884804.291435,16166,10294.716798
-209642245.697796,16166,10302.350691
-156952849.513668,16166,10308.781339
-112565339.1725,16166,10316.035765
-84355850.871619,16166,10323.968157
-84115569.332993,16166,10329.95558
-40198109.877986,16166,10338.425615
-89260207.174558,16166,10346.989406
-90306994.569735,16166,10353.825871
-96157022.336176,16166,10360.89093
-95492245.039543,16166,10371.692636
-113837764.280931,16166,10380.201943
-129230127.11722,16166,10389.085505
-107539033.101701,16166,10398.069554
-134063352.96825,16166,10407.729777
-123041571.807197,16166,10414.323754
-108209297.574527,16166,10421.459351
