#{"t_start": 1747431147.9038424, "env_id": "BuildingEnv"}
r,l,t
-273694904.843595,16166,6.225838
-278702410.868268,16166,11.723156
-266764752.661595,16166,17.170834
-271114611.621642,16166,22.637207
-272398577.338996,16166,28.135913
-267726607.848482,16166,33.6379
-262832934.711375,16166,39.109957
-265912602.41777,16166,44.624174
-261169333.389094,16166,50.118485
-261036773.316643,16166,55.595024
-259417184.669623,16166,61.1704
-257568226.710698,16166,66.688034
-260565888.132605,16166,72.233958
-253477807.726907,16166,77.810518
-256663249.877638,16166,83.403767
-257407239.272341,16166,88.991338
-255356787.712036,16166,94.618473
-252677113.667279,16166,100.285409
-247425341.636787,16166,106.03339
-247383867.776622,16166,111.949216
-246971692.082562,16166,117.604192
-244751663.744431,16166,123.249883
-247380198.978688,16166,128.88087
-246161032.683974,16166,134.496768
-237603444.018694,16166,140.158628
-239582471.079075,16166,145.81127
-238036097.03243,16166,151.471023
-235472221.028784,16166,157.140003
-234071937.360289,16166,162.815111
-234430147.539093,16166,168.516243
-234036298.658401,16166,174.206435
-229967102.470661,16166,179.889873
-228470463.509373,16166,185.780053
-230750483.862434,16166,191.714123
-228631666.92967,16166,197.69276
-223391745.707097,16166,203.425238
-227003858.331448,16166,209.180527
-217394504.633947,16166,214.92715
-220806536.284588,16166,220.712036
-219158123.102815,16166,226.477662
-222993550.647735,16166,232.270068
-212216811.77224,16166,238.10668
-217675611.346118,16166,243.917305
-216691017.465083,16166,249.703369
-211908721.074929,16166,255.509973
-209897068.315944,16166,261.295133
-210687102.000726,16166,267.100317
-210422133.623254,16166,272.937459
-202416500.801004,16166,278.773397
-203201022.629566,16166,284.607573
-204364912.400148,16166,290.434948
-204047541.276936,16166,296.320894
-201588400.481642,16166,302.201596
-198574864.908152,16166,308.081258
-199904195.262622,16166,313.999463
-193502947.641288,16166,319.912168
-191195262.19319,16166,325.916092
-196902056.468106,16166,331.825274
-193868641.62444,16166,337.838778
-187330877.156907,16166,343.763996
-186165896.30489,16166,349.697196
-186628593.818314,16166,355.616747
-180780123.531278,16166,361.572483
-177052427.137148,16166,367.600629
-181832381.333026,16166,373.620291
-181137407.829007,16166,379.576057
-180563061.027935,16166,385.577627
-174553670.939505,16166,391.627954
-175581606.561406,16166,397.619545
-183940754.291578,16166,403.596563
-172453632.725436,16166,409.61025
-167108493.290531,16166,415.692594
-170890272.914625,16166,421.730947
-167734778.546669,16166,427.734563
-168000199.908137,16166,433.934611
-166639819.361711,16166,440.000911
-165633219.512301,16166,446.05128
-162596168.312581,16166,452.087843
-162643682.514367,16166,458.139242
-163714288.539606,16166,464.231462
-160003968.351676,16166,470.316898
-153537735.876747,16166,476.503791
-158023360.141033,16166,482.59154
-149554988.868374,16166,488.682474
-150538798.414562,16166,494.783469
-154688561.107227,16166,500.900129
-150241021.09917,16166,507.075595
-155566343.930032,16166,513.249266
-147498226.784726,16166,519.430903
-145323229.046393,16166,525.611528
-145304600.500531,16166,532.034029
-145319009.568534,16166,538.333358
-143528995.400922,16166,544.523312
-142518963.912112,16166,550.774453
-143043273.62383,16166,556.996195
-140529910.16231,16166,563.22305
-136281132.737675,16166,569.44668
-134860705.533344,16166,575.670976
-135825934.887511,16166,581.906745
-137237592.332109,16166,588.182915
-135041245.243266,16166,594.494204
-128499944.803149,16166,600.751222
-128954055.417677,16166,607.047635
-128592444.14958,16166,613.404965
-123453395.671674,16166,619.826473
-124302831.406979,16166,626.436904
-121154376.8935,16166,633.044897
-119397123.320815,16166,639.671602
-117398380.401346,16166,646.285647
-116638015.457616,16166,652.904768
-118300700.722142,16166,659.509388
-118294996.461747,16166,666.150246
-116861065.971482,16166,672.618793
-111987737.609093,16166,679.011389
