#{"t_start": 1747288224.139738, "env_id": "BuildingEnv"}
r,l,t
-631194667.689172,16166,7.745359
-630809087.199838,16166,15.439477
-629993391.170039,16166,23.066694
-627461648.398505,16166,30.790075
-625783174.73877,16166,38.622846
-623624364.183216,16166,46.246902
-615086015.068337,16166,53.871729
-614208117.999339,16166,61.616721
-616371303.685733,16166,69.305863
-616236846.183078,16166,76.988104
-622347586.944511,16166,84.604062
-604766125.046104,16166,92.303579
-607328529.435834,16166,100.006539
-600770407.772225,16166,107.693084
-600357543.354284,16166,115.384432
-597181313.71693,16166,123.365769
-598134545.802225,16166,131.343429
-595263423.939079,16166,139.078506
-583313404.388393,16166,146.777132
-582595586.106844,16166,154.824265
-589109071.267437,16166,162.579838
-582854409.394969,16166,170.347908
-575034457.645835,16166,178.06651
-570991791.722026,16166,186.186285
-568103995.01264,16166,193.959715
-567089296.592077,16166,201.719343
-565309280.600526,16166,209.503624
-567342573.78213,16166,217.249666
-567107504.059837,16166,225.177866
-568680015.843264,16166,233.219913
-556515607.381024,16166,241.154001
-551441048.399781,16166,249.031237
-543193695.56898,16166,256.805026
-550645105.634882,16166,264.769886
-552088466.45426,16166,272.980005
-545987009.493337,16166,280.82258
-549666212.37432,16166,288.731341
-548548352.331111,16166,296.664017
-543237172.188194,16166,304.463274
-539248120.172365,16166,312.224144
-538596433.710785,16166,320.026539
-537095220.746344,16166,327.843072
-526194055.967707,16166,335.647748
-525334551.979022,16166,343.482504
-528726297.270285,16166,351.381532
-524552846.959226,16166,359.212919
-520574654.864476,16166,367.075496
-518227153.399792,16166,375.099173
-513818237.408999,16166,382.962271
-508151833.508905,16166,390.966956
-508057473.762363,16166,398.815981
-512113824.820217,16166,406.670554
-507796846.815046,16166,414.516066
-506413965.383519,16166,422.382931
-496608055.732601,16166,430.38157
-501841226.77194,16166,438.288979
-500172106.918992,16166,446.196658
-491513216.019102,16166,454.122276
-486306474.313237,16166,462.198946
-497531791.394512,16166,470.23976
-475356367.252776,16166,478.366975
-483461486.242718,16166,486.544806
-489583459.282443,16166,494.655197
-474999933.446294,16166,502.698541
-477136751.512104,16166,510.898227
-465739194.21183,16166,519.060758
-480906717.680433,16166,527.247243
-466265895.275678,16166,535.33689
-456708486.440772,16166,543.563501
-462403545.758336,16166,551.807324
-453978264.148303,16166,560.072494
-457407772.426836,16166,568.16442
-453147857.387298,16166,576.184438
-456315159.848288,16166,584.242334
-443703620.331665,16166,592.4179
-444101269.668372,16166,600.417188
-446045353.094164,16166,608.643793
-438967412.22645,16166,616.882135
-436215797.047767,16166,624.987845
-427945567.547438,16166,633.158082
-426252092.999955,16166,641.623636
-437788975.352761,16166,649.723876
-443921530.765642,16166,657.86476
-424278413.146501,16166,665.959928
-423160997.741547,16166,674.145425
-427314441.435478,16166,682.339836
-420372427.718867,16166,690.435861
-419675880.196462,16166,698.493865
-415071335.250412,16166,706.551091
-416480007.041724,16166,714.596604
-411619306.095393,16166,722.652691
-415321010.55897,16166,730.695831
-403944610.86645,16166,738.783476
-399050883.820458,16166,746.873863
-409310576.340015,16166,755.042673
-399754122.914403,16166,763.871261
-393184260.361785,16166,772.276129
-393349537.195268,16166,780.682001
-396668245.804239,16166,788.935339
-394020153.407281,16166,797.222186
-387021731.150037,16166,805.338685
-385016672.584744,16166,813.461992
-386208167.542787,16166,821.572721
-380799422.558249,16166,829.682785
-373609260.59004,16166,837.816388
-382163660.1745,16166,845.917546
-367790686.8657,16166,854.045904
-370544107.931715,16166,862.185313
-367251905.32166,16166,870.385509
-362193690.472865,16166,878.52237
-358909965.310188,16166,886.683606
-355740955.411471,16166,894.828892
-352128495.304154,16166,903.073686
-351730609.644318,16166,911.376626
-350682905.20684,16166,919.54593
-344406424.750646,16166,927.719066
-351122899.791608,16166,935.943189
-342154347.556917,16166,944.194434
-340006867.137238,16166,952.396481
-333923726.353374,16166,960.846732
-336698687.970703,16166,969.414982
-331485525.552148,16166,977.851977
-335096211.581182,16166,986.153199
-329647329.919576,16166,994.361077
-327754717.183192,16166,1002.999091
-330148646.648417,16166,1011.605594
-320914843.851495,16166,1020.481314
-317105438.635023,16166,1028.857523
-307663962.262697,16166,1037.095882
-314552984.474111,16166,1045.760393
-312220336.884724,16166,1054.323426
-307845984.323592,16166,1062.739807
-302729598.058046,16166,1071.033149
-300449241.664931,16166,1079.281051
